"wa_id","mal_id","title","work_type","genre","release","score","top_place"
2318,24227,"Притворная любовь OVA-1 []","OVA (3 эп.), 25 мин.","комедия","c 03.10.2014 по 03.04.2015",7.2,""
2319,24819,"Spo-chan Taiketsu: Youkai Daikessen []","полнометражный фильм, 70 мин.","приключения","30.08.2014","",""
2320,24037,"Селектор-разносчик Wixoss []","ТВ (12 эп.), 25 мин.","триллер, драма","c 04.10.2014 по 20.12.2014",7.2,2594
2321,24071,"Gekijouban Gudaguda Fairiestte Iu Eiga wa Dou kana...? []","полнометражный фильм, 65 мин.","комедия","27.09.2014",2.0,""
2323,24469,"Товарищеский комплекс (спэшл) []","ТВ-спэшл (2 эп.), 25 мин.","приключения, фантастика, меха","c 30.09.2014 по 01.10.2014",7.0,""
2324,22821,"Himitsukessha Taka no Tsume Extreme []","ТВ (38 эп.), 5 мин.","комедия","c 11.04.2014 по 06.03.2015",4.0,""
2325,24833,"Класс убийц [ТВ-1] [Assassination Classroom]","ТВ (22 эп. + спэшл), 25 мин.","приключения, комедия","c 10.01.2015 по 20.06.2015",7.8,1185
2326,21495,"Он - сильнейший учитель! (промо) []","Web (2 эп.), 1 мин.","комедия","c 02.10.2012 по 17.02.2013",5.7,""
2327,23555,"Neko no Dayan []","ТВ (50 эп.), 3 мин.","комедия","c 26.04.2014 по 25.04.2015",2.0,""
2329,23499,"Gakumon! Ookami Shoujo wa Kujikenai []","Web (2 эп.), 10 мин.","приключения","c 24.04.2014 по 09.05.2014",2.0,""
2330,24855,"Girl Friend (Kari) [Girl Friend Beta]","ТВ (12 эп.), 25 мин.","повседневность","c 13.10.2014 по 29.12.2014",6.3,3966
2331,24275,"Medamayaki no Kimi Itsu Tsubusu? []","ТВ (4 эп.), 25 мин.","комедия","c 05.08.2014 по 08.08.2014",2.0,""
2332,28035,"Kitsune no Homerun Ou [Seventh Inning Stretch]","короткометражный фильм","комедия","??.09.1949",6.0,""
2333,21881,"Мастера меча онлайн [ТВ-2] []","ТВ (24 эп. + спэшлы), 25 мин.","приключения, фэнтези, романтика","c 05.07.2014 по 20.12.2014",7.8,1271
2334,23375,"Minarai Diva []","ТВ (10 эп.), 50 мин.","комедия","c 14.07.2014 по 22.09.2014",2.0,""
2335,24765,"Школьная жизнь! [School-Live!]","ТВ (12 эп.), 25 мин.","триллер, повседневность","c 09.07.2015 по 24.09.2015",7.4,2006
2336,23737,"Neko Pitcher []","ТВ (51 эп.), 2 мин.","комедия, спорт","c 03.05.2014 по 29.03.2016",2.0,""
2337,24835,"Gundam-san []","ТВ (13 эп.), 5 мин.","комедия","c 06.07.2014 по 28.09.2014",5.2,""
2338,22295,"Juuza Engi []","OVA (1 эп.), 25 мин.","комедия, романтика, фэнтези","28.11.2014",6.1,4148
2339,21163,"Oni no Ko to Yuki Usagi [Goblin and Snow Hare]","короткометражный фильм, 17 мин.","повседневность, фэнтези","??.??.1995",7.3,""
2340,24893,"Рыцари Сидонии [ТВ-2] [Knights of Sidonia: Battle for Planet Nine]","ТВ (12 эп.), 25 мин.","приключения, фантастика, меха","c 11.04.2015 по 27.06.2015",7.9,""
2341,24151,"Дорога юности OVA []","OVA (2 эп.), 25 мин.","романтика, повседневность","c 25.08.2014 по 12.12.2014",7.5,""
2342,23433,"Shin Strange+ []","ТВ (12 эп.), 5 мин.","комедия, детектив","c 11.07.2014 по 26.09.2014",6.2,""
2344,22711,"Wazaguu! vs Dangerous Jiisan Ja []","OVA (1 эп.), 35 мин.","комедия","21.11.2012","",""
2345,25429,"Иска []","ТВ (10 эп.), 25 мин.","приключения, фэнтези, этти","c 24.01.2015 по 28.03.2015",5.8,4561
2346,24261,"Чайка - принцесса с гробом OVA []","OVA (1 эп.), 25 мин.","приключения","10.03.2015",6.7,""
2348,24171,"Истребители насекомых OVA []","OVA (3 эп.), 25 мин.","приключения, фэнтези","c 16.07.2014 по 16.01.2015",7.2,""
2349,24231,"Чайка - принцесса с гробом [ТВ-2] []","ТВ (10 эп.), 25 мин.","приключения, фэнтези","c 09.10.2014 по 11.12.2014",7.4,""
2350,23327,"Космический денди [ТВ-2] []","ТВ (13 эп.), 25 мин.","приключения, комедия, фантастика","c 06.07.2014 по 25.09.2014",8.0,""
2351,24817,"Fantasista Stella []","OVA (3 эп.), 25 мин.","спорт","c 18.09.2014 по 18.02.2015",4.0,""
2353,24127,"Hashi no Mukou []","Web (1 эп.), 11 мин.","драма","21.09.2012",5.4,""
2354,22677,"Яблочное зёрнышко: Проект Альфа []","полнометражный фильм, 95 мин.","приключения, фантастика, меха","15.07.2014",7.0,3198
2355,24415,"Баскетбол Куроко [ТВ-3] []","ТВ (25 эп.), 25 мин.","комедия, спорт","c 11.01.2015 по 30.06.2015",8.2,""
2356,24019,"Manabu no Natsuyasumi []","OVA (1 эп.), 25 мин.","повседневность","??.??.2005","",""
2357,24531,"Журнал сестры []","OVA (3 эп. + спэшлы), 25 мин.","комедия, этти","c 18.09.2014 по 15.04.2015",6.8,3632
2359,34258,"Toruru's Adventure []","короткометражный фильм, 30 мин.","приключения","21.03.2014","",""
2360,24277,"Трусливый велосипедист [ТВ-2] []","ТВ (24 эп.), 25 мин.","спорт, комедия","c 07.10.2014 по 31.03.2015",7.8,""
2361,1577,"Вы арестованы OVA-1 [You're Under Arrest]","OVA (4 эп.), 30 мин.","приключения, комедия","c 24.09.1994 по 25.11.1995",8.0,1101
2362,2011,"Вы арестованы (cпэшлы) [You're Under Arrest! Mini Specials]","ТВ (19 эп. + 2 спэшла), 8 мин.","приключения, комедия","c 30.03.1999 по 30.04.1999",7.2,2645
2363,2014,"Вы арестованы [ТВ-2] [You're Under Arrest: Fast & Furious]","ТВ (26 эп.), 25 мин.","приключения, комедия","c 07.04.2001 по 29.09.2001",7.2,2573
2364,2010,"Вы арестованы OVA-2 []","OVA (1 эп.), 25 мин.","приключения, комедия","29.03.2002",6.6,3708
2365,2013,"Вы арестованы (фильм) []","полнометражный фильм, 90 мин.","приключения, детектив","24.04.1999",7.8,1409
2366,2454,"Капризы Апельсиновой улицы: Я хочу вернуться в тот день [Kimagure Orange Road: Ano Hi ni Kaeritai]","полнометражный фильм, 69 мин.","комедия, романтика, повседневность","01.10.1988",8.3,466
2367,2098,"Новые капризы Апельсиновой улицы []","полнометражный фильм, 95 мин.","романтика, комедия, повседневность","02.11.1996",8.3,437
2368,121,"Стальной алхимик [ТВ-1] [Fullmetal Alchemist]","ТВ (51 эп. + спэшл), 25 мин.","приключения, фэнтези, драма","c 04.10.2003 по 02.10.2004",8.8,32
2369,10191,"Киберэгоист Кайдзо []","OVA (6 эп.), 25 мин.","комедия","c 23.05.2011 по 26.10.2011",7.2,2779
2370,430,"Стальной алхимик (фильм первый) [Fullmetal Alchemist The Movie: Conqueror of Shamballa]","полнометражный фильм, 105 мин.","приключения, фэнтези","23.07.2005",8.2,457
2371,24471,"Хладнокровный Ходзуки OVA-1 []","OVA (4 эп.), 30 мин.","комедия, фэнтези","c 06.12.2014 по 23.03.2017",8.1,878
2372,24781,"Алиса в Пограничье []","OVA (3 эп.), 25 мин.","триллер","c 17.10.2014 по 16.02.2015",7.7,1422
2373,24175,"Нодзоми и Кимио []","OVA (3 эп.), 25 мин.","комедия, этти","c 18.08.2014 по 18.02.2015",7.3,2347
2374,24501,"Inui-san! []","OVA (5 эп.), 3 мин.","комедия","c 03.07.2014 по 01.12.2015","",""
2375,24405,"Импульс мира [ТВ-1] []","ТВ (73 эп.), 25 мин.","приключения, фэнтези","c 05.10.2014 по 03.04.2016",7.8,1310
2376,24451,"Если бы я сломал её флаг OVA []","OVA (1 эп.), 25 мин.","комедия","02.12.2014",6.1,""
2377,24417,"Железобетонная семейка Ураясу навсегда! []","ТВ (25 эп.), 2 мин.","комедия, повседневность","c 06.07.2014 по 28.12.2014",6.3,""
2378,10017,"Драгонболл Зет OVA-1 (ремейк) [Dragon Ball: Plan to Eradicate the Super Saiyans]","OVA (1 эп.), 35 мин.","приключения, фэнтези","02.11.2010",6.2,""
2379,10213,"Эй, люби меня всерьёз! [Majikoi: Oh! Samurai Girls!]","ТВ (12 эп.), 25 мин.","приключения, комедия, фэнтези, этти","c 02.10.2011 по 18.12.2011",7.0,3137
2380,10323,"Golden Kids []","Web (2 эп.), 10 мин.","спорт","c 21.01.2011","",""
2381,23617,"Вперёд, Анпанман! (фильм #26) []","полнометражный фильм, 50 мин.","приключения","05.07.2014","",""
2382,10232,"Тамаюра [ТВ-1] []","ТВ (12 эп. + спэшл), 25 мин.","повседневность","c 03.10.2011 по 19.12.2011",7.5,1936
2383,8516,"Дурни, тесты, аватары [ТВ-2] [Baka and Test: Summon the Beasts]","ТВ (13 эп. + спэшлы), 25 мин.","комедия, драма, романтика","c 08.07.2011 по 30.09.2011",8.0,702
2384,10257,"Pretty Rhythm: Aurora Dream []","ТВ (51 эп. + спэшлы), 25 мин.","комедия, повседневность","c 09.04.2011 по 31.03.2012",6.9,3059
2385,10271,"Кайдзи [ТВ-2] [Kaiji: Against All Rules]","ТВ (26 эп.), 25 мин.","приключения, триллер","c 06.04.2011 по 28.09.2011",8.5,208
2386,9924,"Благословенная Кампанелла OVA []","OVA (1 эп.), 30 мин.","комедия, этти","30.03.2011",6.2,4246
2387,10347,"Happy Kappy []","ТВ (25 эп.), 6 мин.","приключения","c 06.04.2011 по 05.10.2011",6.0,""
2388,11043,"Install []","Web (1 эп.), 12 мин.","приключения","18.07.2011","",""
2389,180,"Вандред [ТВ] [Vandread Stage One]","ТВ (13 эп.), 25 мин.","приключения, фантастика, меха","c 03.10.2000 по 19.12.2000",8.0,819
2390,181,"Вандред: Второй уровень [ТВ] [Vandread: The Second Stage]","ТВ (13 эп.), 25 мин.","фантастика, комедия, меха","c 05.10.2001 по 18.01.2002",8.1,648
2391,486,"Путешествие Кино: Прекрасный мир [ТВ-1] []","ТВ (13 эп. + спэшл), 25 мин.","приключения, драма","c 08.04.2003 по 08.07.2003",8.7,78
2392,17977,"Kiki to Lala no Hakuchouza no Ohime-sama []","OVA (1 эп.), 30 мин.","приключения","21.11.1993",7.0,""
2394,8487,"Онигамиден [Legend of the Millennium Dragon]","полнометражный фильм, 100 мин.","приключения, фэнтези","29.04.2011",6.7,3759
2395,8972,"Mahou no Princess Minky Momo vs Mahou no Tenshi Creamy Mami []","короткометражный фильм, 3 мин.","комедия","03.08.1985",6.0,""
2396,23539,"Gudetama []","ТВ, 1 мин.","комедия","c 31.03.2014",3.0,""
2397,"","Mou Hitotsu no Doubutsuen: Zetsumetsu Doubutsu Monogatari []","OVA (2 эп.), 30 мин.","образовательный","30.01.2009","",""
